image_dir,image_url,format,size,mode
unsplash_images\image_0,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-017.jpg?dpr=1&h=304&w=304&crop=focalpoint&fp-y=0.4&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_1,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-018.jpg?dpr=1&h=304&w=304&crop=focalpoint&fp-y=0.51&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_2,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-004.jpg?dpr=1&h=304&w=304&crop=faces&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_3,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-005.jpg?dpr=1&h=304&w=304&crop=faces&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_4,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-017.jpg?dpr=1&h=304&w=304&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_5,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-018.jpg?dpr=1&h=304&w=304&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_6,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-004.jpg?dpr=1&h=304&w=304&crop=focalpoint&fp-x=0&fp-y=0.4&q=80&auto=format&fit=crop,JPEG,"(304, 304)",RGB
unsplash_images\image_7,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-005.jpg?dpr=1&h=304&w=304&auto=format&fit=crop&q=60,JPEG,"(304, 304)",RGB
unsplash_images\image_8,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-017.jpg?dpr=1&h=168&w=340&crop=focalpoint&fp-y=0.4&auto=format&fit=crop&q=60,JPEG,"(340, 168)",RGB
unsplash_images\image_9,https://unsplash-assets.imgix.net/unsplashplus/asset-plus-018.jpg?dpr=1&h=168&w=340&crop=focalpoint&fp-y=0.51&auto=format&fit=crop&q=60,JPEG,"(340, 168)",RGB
